ID	 pred 	 actual 	 correct
4557	1964	1992	False
1922	1962	2008	False
1860	1965	2008	False
7864	1962	1962	True
2747	1964	2003	False
2025	1965	2007	False
4458	1961	1993	False
1401	1965	2011	False
1577	1964	2010	False
1337	1961	2011	False
8106	1962	1960	False
4858	1965	1991	False
659	1965	2015	False
1947	1963	2008	False
2364	1964	2005	False
6946	1962	1967	True
1204	1962	2012	False
3455	1965	1999	False
4970	1965	1990	False
3108	1961	2001	False
2234	1961	2006	False
6537	1962	1969	True
5043	1964	1990	False
4588	1964	1992	False
1687	1964	2009	False
7990	1962	1961	False
2929	1961	2002	False
6163	1965	1976	False
5999	1962	1980	False
3377	1961	2000	False
124	1965	2019	False
3619	1965	1998	False
2148	1965	2007	False
6056	1961	1977	False
1997	1965	2007	False
5919	1964	1983	False
8046	1962	1961	False
2338	1964	2005	False
6161	1965	1976	False
779	1964	2014	False
3688	1964	1998	False
5273	1964	1988	False
3703	1964	1998	False
7782	1962	1962	True
205	1961	2018	False
6069	1965	1977	False
4148	1961	1995	False
191	1961	2018	False
2271	1965	2006	False
7662	1962	1963	True
249	1965	2018	False
5172	1964	1989	False
2417	1960	2005	False
2014	1963	2007	False
2307	1961	2006	False
4040	1965	1996	False
6004	1962	1980	False
2943	1961	2002	False
6125	1961	1977	False
1617	1965	2009	False
2263	1961	2006	False
87	1960	2019	False
4402	1961	1994	False
719	1964	2015	False
496	1965	2016	False
3749	1961	1997	False
1474	1965	2010	False
2821	1964	2003	False
2054	1963	2007	False
1853	1965	2008	False
4793	1963	1991	False
915	1961	2013	False
2053	1964	2007	False
4581	1964	1992	False
2828	1965	2003	False
1016	1961	2013	False
4986	1965	1990	False
2094	1961	2007	False
2003	1961	2007	False
2469	1964	2005	False
8013	1965	1961	False
4956	1964	1990	False
139	1962	2019	False
251	1964	2018	False
5641	1961	1986	False
2498	1965	2005	False
886	1965	2014	False
1411	1964	2011	False
3701	1965	1998	False
129	1964	2019	False
760	1963	2014	False
4597	1965	1992	False
4594	1965	1992	False
2300	1960	2006	False
1365	1965	2011	False
2055	1961	2007	False
614	1961	2015	False
8156	1965	1960	False
1020	1964	2013	False
2629	1961	2004	False
7593	1962	1963	True
1945	1965	2008	False
469	1963	2016	False
1157	1964	2012	False
1798	1964	2008	False
3498	1964	1999	False
2853	1965	2003	False
2321	1965	2006	False
3336	1964	2000	False
3809	1960	1997	False
6675	1962	1968	True
7724	1962	1962	True
1941	1965	2008	False
5363	1965	1987	False
6570	1962	1969	True
397	1964	2016	False
4851	1962	1991	False
2656	1965	2004	False
4940	1964	1990	False
2602	1963	2004	False
3334	1961	2000	False
4909	1965	1990	False
1019	1965	2013	False
3238	1965	2000	False
1189	1964	2012	False
2790	1965	2003	False
7299	1965	1965	True
2811	1964	2003	False
1885	1965	2008	False
2187	1965	2006	False
4672	1964	1992	False
5658	1961	1986	False
1927	1965	2008	False
2258	1963	2006	False
4315	1965	1994	False
1172	1964	2012	False
1423	1965	2011	False
6466	1961	1970	True
4199	1961	1995	False
2583	1964	2004	False
7386	1965	1964	False
6900	1962	1967	True
8077	1962	1960	False
2169	1965	2006	False
3850	1963	1997	False
1571	1965	2010	False
3388	1965	2000	False
1315	1965	2011	False
7891	1961	1962	True
919	1965	2013	False
5612	1965	1986	False
6395	1963	1970	True
3395	1965	1999	False
